,Symbol,MarketCapitalization,BookValue,EPS,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,Beta,totalRevenue,operatingIncome,operatingExpenses,netIncome,totalAssets,totalLiabilities,totalShareholderEquity,DividendPerShare,DividendYield,PEGRatio,currentDebt
10,APD,0.013769716403094498,0.22064328046644432,0.07783796994012465,0.02287613431729106,0.07783796994012465,0.0033889610285512757,0.24201077199281867,0.25929283771532186,0.019627461415646624,0.16146741431299194,0.022544316617442828,0.1672620146858374,0.00830399188394793,0.004806387227442377,0.10190396201120927,0.35000000000000003,1.9819820195621565e-07,0.15952319227854667,0.005718414668436574
11,ABNB,0.02842576349133857,0.18907310986875256,0.07327603763594151,0.03670421242187776,0.07327603763594151,0.011878997739623913,0.326032315978456,0.3729223330311273,0.01264666148114791,0.15997140166406026,0.040305531465859676,0.1636811326562019,0.00394706795898171,0.0030679616151877724,0.0736291247395539,0.0,0.0,0.15981833047501298,0.015066011888025005
12,AKAM,0.004301251409903364,0.19768697363053964,0.06327644495132581,0.01612680078387063,0.06327644495132581,0.004261049391622181,0.296229802513465,0.22967663946811728,0.004940927662013346,0.15753983895076076,0.023724724518324004,0.15163937914962844,0.0018361929682182215,0.0011307423710575524,0.0697533215964337,0.0,0.0,0.159534160252064,0.029661073636440917
13,ALB,0.002452017991290214,0.23109868752549367,0.11400757606614803,0.019834164577521983,0.11400757606614803,0.0010676670033184245,0.2998204667863555,0.4844363856149895,0.010981461497523232,0.16141441019172117,0.01819279775369482,0.17068826452095148,0.003788374895619782,0.0021774031291364577,0.08145503206111802,0.07975,8.574091495284565e-08,0.1593477047022694,4.65777789402787e-05
14,ARE,0.004708827484908113,0.2449612496100967,0.05761476110952711,0.014222899968221462,0.05761476110952711,0.0001795476041616573,0.3087971274685817,0.3215472952553642,0.008651372661399273,0.1593841313795457,0.024882444979471535,0.14794564481378886,0.009605488530859468,0.004156044049799452,0.11533660135997287,0.248,2.7151289735067794e-07,1.0,0.07649744769726732
15,ALGN,0.005373397312767058,0.20927609952731724,0.06836788725510162,0.01788723473747396,0.06836788725510162,0.009839849949502237,0.28402154398563734,0.49471139317014207,0.005110140418389487,0.15746709247371285,0.02632119010509846,0.1502138943850855,0.001193358583813232,0.0006574276725922211,0.06730204641997642,0.0,0.0,0.16009851234395567,0.0006340803128289968
16,ALLE,0.0018085069756282196,0.18892914557189816,0.0694065414850719,0.01208643762579005,0.0694065414850719,0.0043508231937030096,0.2639138240574506,0.34602598972499243,0.004211732918491833,0.15734571154560614,0.019524176284014483,0.151061865189289,0.0006593363582874793,0.0008649736113087014,0.05871077156655306,0.08800000000000001,9.071140277619902e-08,0.1599300043871894,8.239225251263676e-05
17,LNT,0.0020171255130401458,0.19631931281042303,0.06209523033684983,0.01379276861692737,0.06209523033684983,0.0036166017409705194,0.24380610412926393,0.16409791477787855,0.00588037826994719,0.1580835658928124,0.023378797159370017,0.15306687772061733,0.0050728352044629756,0.0040785500862794725,0.07594204771211216,0.08925,2.491457021455877e-07,0.1607127188609261,0.006898716381018395
18,ALL,0.01170894068969021,0.21654029800609448,0.05409148303531425,0.034687157939338305,0.05409148303531425,0.0010227801022780103,0.2933572710951526,0.15503173164097916,0.08318336267245262,0.23452363466705833,0.062416233557519116,0.13550543024227235,0.026312583482481142,0.023863139107162132,0.11216061247234022,0.17800000000000002,1.3793103709805605e-07,0.16164499660989912,0.05367266735108908
19,GOOGL,0.582117742113689,0.19414785133286946,0.06834752148588652,0.6975786518837612,0.06834752148588652,0.004985652222703154,0.31059245960502696,0.3188274403142944,0.4993572685962255,0.33815156254049994,0.5825050184058752,0.7959811810227322,0.1093882021070226,0.03524285739399026,0.9710787718249801,0.0,0.0,0.1596917002353129,0.008912749220216181
